,Model Year,Make,Model,Sold Price,Mileage
175,2017,ford,door,15110,42289
176,2014,ford,door,7900,79422
177,2016,chevrolet,door,27305,28844
178,2017,ford,door,15290,66582
179,2015,ford,door,26500,61436
180,2016,chevrolet,door,25502,58303
181,2017,ford,mpv,7320,55618
182,2009,chevrolet,van,3800,261648
183,2016,chevrolet,door,24502,33045
184,2017,ford,door,4140,40747
185,2002,dodge,pk,1400,185460
186,2016,cadillac,srx,18402,26667
187,2017,ford,door,4160,37176
188,2000,chrysler,door,175,231240
189,2016,chevrolet,colorado,24503,18006
190,2017,ford,door,15840,72445
191,2014,ford,door,20500,123355
192,2016,chevrolet,1500,21003,44116
193,2017,ford,door,4200,60219
194,2011,ford,door,17400,135077
195,2016,chevrolet,door,32001,32058
196,2017,ford,mpv,0,76858
197,2011,ford,cab,15700,309564
198,2016,chevrolet,door,31009,33928
199,2017,ford,wagon,3740,90618
200,2001,dodge,pickup,5000,109360
201,2016,chevrolet,door,31002,71809
202,2017,ford,doors,3160,31563
203,2005,dodge,pickup,8600,219823
204,2018,chevrolet,malibu,6000,42090
205,2017,ford,door,12990,126523
206,2020,chevrolet,vehicl,25,7232
207,2017,buick,encore,13200,60171
208,2017,ford,wagon,4410,209915
209,2005,chrysler,door,25,151815
210,2020,chevrolet,camaro,22500,13826
211,2017,ford,mpv,7420,55854
212,2016,ford,door,13500,45757
213,2020,chevrolet,trax,15500,16545
214,2017,ford,door,3540,112893
215,2016,ford,door,17000,126802
216,2020,chevrolet,tahoe,45500,13303
217,2017,ford,door,4130,34061
218,2015,ford,door,15700,70251
219,2020,chevrolet,tahoe,45500,13679
220,2017,ford,doors,4130,42426
221,2012,dodge,door,15500,66452
222,2020,chevrolet,trax,16300,18221
223,2017,ford,mpv,4530,41455
224,2011,dodge,door,15600,35275
225,2020,chevrolet,tahoe,45500,13885
226,2017,ford,door,4100,38815
227,2011,dodge,door,18200,162281
228,2013,chevrolet,door,10200,56479
229,2017,ford,doors,4080,61027
230,2014,ford,van,5700,178703
231,2014,chevrolet,3500,10200,173469
232,2017,ford,door,5000,37321
233,2014,ford,door,1700,112789
234,2011,bmw,door,6200,80394
235,2016,ford,door,3650,68142
236,2014,dodge,door,10500,74203
237,2018,chevrolet,2500,43500,57604
238,2016,dodge,van,4610,87229
239,2012,ford,door,3450,90711
240,2018,chevrolet,suburban,38500,11135
241,2016,ford,mpv,6810,66781
242,2011,ford,cargo,2900,190994
243,2018,chevrolet,2500,43500,56007
244,2016,ford,mpv,4450,32486
245,2011,ford,door,5800,195908
246,2018,chevrolet,equinox,16500,18020
247,2016,dodge,mpv,4240,83262
248,2008,ford,pickup,26500,62015
249,2017,chevrolet,equinox,13700,36421
250,2016,ford,door,8600,73321
251,2008,ford,chassis,8000,132379
252,2017,chevrolet,equinox,14200,28013
253,2016,ford,mpv,7040,33291
254,2005,ford,chassis,4700,225236
255,2016,chevrolet,door,30851,43176
256,2016,ford,mpv,4880,36876
257,2006,dodge,pickup,14500,111782
258,2017,chevrolet,door,7600,110489
259,2016,ford,door,13270,84035
260,2012,ford,door,12800,131101
261,2016,ford,door,9280,101380
262,2003,ford,van,900,142027
263,2016,ford,door,7560,111476
264,2011,ford,drw,19500,76897
265,2019,chevrolet,malibu,17100,15780
266,2016,ford,door,8020,31944
267,2019,ford,fiesta,10300,18937
268,2019,chevrolet,van,22600,9706
269,2016,ford,doors,10480,57289
270,2019,ford,fiesta,10300,19956
271,2019,chevrolet,van,22700,6075
272,2016,ford,door,7410,21034
273,2019,ford,fiesta,10300,22881
274,2013,chevrolet,door,10300,167600
275,2016,ford,door,7570,37252
276,2019,dodge,challenger,67000,10944
277,2019,chevrolet,impala,18900,27601
278,2019,ford,doors,12560,15958
279,2019,dodge,durango,33000,32251
280,2019,chevrolet,impala,18300,25809
281,2017,ford,cab,11760,30553
282,2019,dodge,durango,31700,26549
283,2007,dodge,door,25,160528
284,2000,ford,door,0,124969
285,2019,ford,doors,7340,15854
286,2017,hyundai,door,8200,56690
287,2013,kia,door,3000,97142
288,2019,jeep,mpv,6530,10185
289,2009,mazda,door,0,117541
290,2019,kia,soul,12700,23514
291,2017,kia,sorento,13800,86959
292,1998,chevrolet,pickup,0,258631
293,2017,ford,door,725,67279
294,2019,ford,doors,7400,16482
295,2017,hyundai,elantra,9800,35687
296,2003,honda,door,0,152608
297,2019,jeep,mpv,4400,17911
298,2019,infiniti,mpv,10330,21278
299,2011,chevrolet,door,1800,47269
300,2008,chevrolet,door,50,172102
301,2006,ford,wagon,720,26914
302,2017,ford,door,22800,67217
303,2017,ford,door,2500,78698
304,2003,ford,door,0,246065
305,2017,gmc,mpv,9190,41961
306,2019,jeep,mpv,10900,13273
307,2019,infiniti,mpv,10400,31713
308,2004,chevrolet,door,0,0
309,2003,chevrolet,door,0,194673
310,2008,chevrolet,pickup,7320,325611
311,2017,ford,f-150,22809,50732
312,1998,ford,van,0,186855
313,2013,ford,door,0,94004
314,2017,gmc,mpv,5520,52904
315,2019,jeep,mpv,10900,14195
316,2019,jeep,mpv,6330,43965
317,2009,chevrolet,door,0,117059
318,2010,chevrolet,pickup,25,149189
319,2007,dodge,door,2320,112182
320,2017,ford,door,23702,49024
321,1994,ford,chassis,0,0
322,1997,ford,door,0,203297
323,2017,gmc,mpv,5520,35821
324,2018,heartland,pioneer,4050,1
325,2019,infiniti,mpv,14810,32611
326,2011,chevrolet,door,25,105244
327,2008,chrysler,van,2960,164048
328,2017,ford,door,24800,46955
329,1996,ford,door,0,296860
330,2006,ford,door,0,203158
331,2017,gmc,mpv,6270,70443
332,2012,heartland,trail,1880,1
333,2019,infiniti,mpv,10050,18229
334,2014,chevrolet,door,225,87673
335,2018,chevrolet,traverse,26900,42941
336,2007,chrysler,door,1420,104405
337,2017,ford,door,27003,57186
338,2002,ford,door,0,214800
339,2004,ford,door,350,236980
340,2017,gmc,mpv,5600,59808
341,2011,heartland,country,6680,1
342,2019,infiniti,mpv,10120,20681
343,2010,chevrolet,door,0,137422
344,2015,ford,door,3920,102700
345,2017,ford,door,23100,53270
346,2004,gmc,door,0,235348
347,2017,gmc,mpv,5630,27195
348,2009,heartland,sundance,0,1
349,2019,jaguar,doors,2800,20849
350,2008,chevrolet,door,0,159266
351,2015,ford,door,8850,143818
352,2017,ford,f-150,18712,67347
353,2009,ford,pickup,0,180364
354,2009,ford,door,0,184889
355,2017,gmc,mpv,6300,117400
356,2010,heartland,country,2220,1
357,2019,jeep,mpv,6930,47798
358,2008,chevrolet,door,25,130623
359,2015,ford,door,3440,124542
360,2017,ford,door,50412,47129
361,1994,ford,pickup,25,206162
362,2001,ford,pk,950,229886
363,2017,gmc,mpv,9270,19490
364,2019,jeep,mpv,11380,12038
365,2019,hyundai,mpv,5350,43536
366,2004,chevrolet,door,2725,308451
367,2015,ford,door,3790,100893
368,2017,ford,door,40514,90304
369,1997,ford,door,0,146912
370,1998,ford,door,0,131367
371,2017,gmc,mpv,9190,31394
372,2019,infiniti,mpv,10330,25933
373,2008,acura,door,1000,118250
374,2013,bmw,door,2925,46060
375,2015,ford,door,3830,50593
376,2017,ford,door,43402,62387
377,2009,gmc,door,1025,169634
378,2016,honda,van,17200,72527
379,2016,harley-davidson,road/street,54680,9502
380,2010,honda,door,6940,217290
381,2019,infiniti,mpv,13080,17243
382,2007,chevrolet,door,25,194903
383,2015,ford,door,10630,82899
384,2017,ford,door,43009,76418
385,2003,gmc,door,25,138441
386,2006,ford,pickup,4600,240740
387,2016,honda,mpv,4950,71404
388,2019,hyundai,doors,3760,30382
389,2009,acura,door,3900,179389
390,2000,cadillac,coupe,0,105169
391,2015,ford,door,3830,82534
392,2017,ford,door,53500,55732
393,2010,ford,door,25,198596
394,1998,ford,door,25,300021
395,2015,honda,door,6240,83623
396,2014,jeep,door,4150,108895
397,1999,jeep,door,25,226972
