,Model Year,Make,Model,Sold Price,Mileage,Base MSRP
0,2008,toyota,cruiser,6300.0,274117.0,0.0
1,2011,ford,se,2899.0,190552.0,0.0
2,2018,dodge,mpv,5350.0,39590.0,0.0
3,2018,dodge,mpv,5700.0,45561.0,0.0
4,2018,dodge,mpv,4160.0,32870.0,0.0
5,2018,dodge,mpv,5690.0,47085.0,0.0
6,2018,dodge,mpv,5090.0,42989.0,0.0
7,2018,dodge,mpv,4260.0,33957.0,0.0
8,2018,dodge,mpv,10780.0,19420.0,0.0
9,2018,dodge,mpv,4040.0,50765.0,0.0
10,2018,dodge,mpv,4290.0,39029.0,0.0
11,2018,dodge,mpv,4160.0,6743.0,0.0
12,2018,dodge,mpv,5470.0,39721.0,0.0
13,2014,ford,door,25000.0,64146.0,0.0
14,2014,ford,door,25800.0,47055.0,0.0
15,2014,ford,door,14600.0,75785.0,0.0
16,2014,ford,door,7900.0,79422.0,0.0
17,2014,ford,door,20500.0,123355.0,0.0
18,2014,ford,door,1700.0,112789.0,0.0
19,2014,ford,door,125.0,56461.0,0.0
20,2014,ford,door,75.0,116535.0,0.0
21,2014,ford,door,6200.0,142286.0,0.0
22,2014,ford,door,17000.0,67542.0,0.0
23,2014,ford,door,17500.0,92500.0,0.0
24,2014,ford,door,26000.0,66367.0,0.0
25,2014,ford,door,22500.0,43646.0,0.0
26,2014,ford,door,18500.0,45887.0,0.0
27,2014,ford,door,8900.0,77392.0,0.0
28,2014,ford,door,8900.0,70181.0,0.0
29,2014,ford,door,3000.0,141595.0,0.0
30,2014,ford,door,7500.0,162918.0,0.0
31,2014,ford,door,32700.0,76336.0,0.0
32,2014,ford,door,11700.0,135283.0,0.0
33,2014,ford,door,6500.0,147903.0,0.0
34,2014,ford,door,9800.0,74181.0,0.0
35,2014,ford,door,11000.0,77386.0,0.0
36,2014,ford,door,1150.0,123349.0,0.0
37,2014,ford,door,6000.0,125369.0,0.0
38,2014,ford,door,26500.0,148442.0,0.0
39,2014,ford,door,7500.0,93832.0,0.0
40,2014,ford,door,17200.0,96076.0,0.0
41,2014,ford,door,14500.0,71205.0,0.0
42,2014,ford,door,9800.0,147574.0,0.0
43,2014,ford,door,8000.0,107173.0,0.0
44,2014,ford,door,3000.0,87420.0,0.0
45,2014,ford,door,11200.0,97320.0,0.0
46,2014,ford,door,10400.0,80652.0,0.0
47,2014,ford,door,13200.0,99816.0,0.0
48,2014,ford,door,21200.0,130168.0,0.0
49,2014,ford,door,11100.0,143704.0,0.0
50,2014,ford,door,10500.0,119689.0,0.0
51,2014,ford,door,8900.0,53102.0,0.0
52,2014,ford,door,33800.0,100255.0,0.0
53,2014,ford,door,2825.0,363810.0,0.0
54,2014,ford,door,6600.0,80423.0,0.0
55,2014,ford,door,12600.0,48188.0,0.0
56,2014,ford,door,1850.0,168805.0,0.0
57,2014,ford,door,22000.0,68418.0,0.0
58,2014,ford,door,8305.0,63291.0,0.0
59,2014,ford,door,9000.0,118340.0,0.0
60,2018,chevrolet,1500,27700.0,6654.0,0.0
61,2018,chevrolet,1500,31900.0,22909.0,0.0
62,2018,chevrolet,1500,19200.0,2430.0,0.0
63,2018,chevrolet,1500,30500.0,30442.0,0.0
64,2018,chevrolet,1500,19600.0,41672.0,0.0
65,2018,chevrolet,1500,19900.0,40345.0,0.0
66,2018,chevrolet,1500,24300.0,56296.0,0.0
67,2018,chevrolet,1500,35100.0,14751.0,0.0
68,2010,chevrolet,pk,7300.0,149050.0,0.0
69,2017,gmc,door,13350.0,23525.0,0.0
70,2017,gmc,door,12710.0,25747.0,0.0
71,2017,gmc,door,12520.0,30114.0,0.0
72,2017,gmc,door,11900.0,28040.0,0.0
73,2017,gmc,door,12710.0,26364.0,0.0
